PLAYER,TEAM,AFFILIATION,YEAR,ROUND NUMBER,ROUND PICK,OVERALL PICK
Grant Riller,Charlotte Hornets,College of Charleston,2020,2,26,56
Reggie Perry,LA Clippers,Mississippi State,2020,2,27,57
Paul Reed,Philadelphia 76ers,DePaul,2020,2,28,58
Jalen Harris,Toronto Raptors,Nevada-Reno,2020,2,29,59
Sam Merrill,New Orleans Pelicans,Utah State,2020,2,30,60
Zion Williamson,New Orleans Pelicans,Duke,2019,1,1,1
Ja Morant,Memphis Grizzlies,Murray State,2019,1,2,2
RJ Barrett,New York Knicks,Duke,2019,1,3,3
De'Andre Hunter,Los Angeles Lakers,Virginia,2019,1,4,4
Darius Garland,Cleveland Cavaliers,Vanderbilt,2019,1,5,5
Jarrett Culver,Phoenix Suns,Texas Tech,2019,1,6,6
Coby White,Chicago Bulls,North Carolina,2019,1,7,7
Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8,8
Rui Hachimura,Washington Wizards,Gonzaga,2019,1,9,9
Cam Reddish,Atlanta Hawks,Duke,2019,1,10,10
Cameron Johnson,Minnesota Timberwolves,North Carolina,2019,1,11,11
P.J. Washington,Charlotte Hornets,Kentucky,2019,1,12,12
Tyler Herro,Miami Heat,Kentucky,2019,1,13,13
Romeo Langford,Boston Celtics,Indiana,2019,1,14,14
Sekou Doumbouya,Detroit Pistons,Limoges CSP (France),2019,1,15,15
Chuma Okeke,Orlando Magic,Auburn,2019,1,16,16
Nickeil Alexander-Walker,Brooklyn Nets,Virginia Tech,2019,1,17,17
Goga Bitadze,Indiana Pacers,KK Mega Leks (Serbia),2019,1,18,18
Luka Samanic,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19,19
Matisse Thybulle,Boston Celtics,Washington,2019,1,20,20
Brandon Clarke,Oklahoma City Thunder,Gonzaga,2019,1,21,21
Grant Williams,Boston Celtics,Tennessee,2019,1,22,22
Darius Bazley,Utah Jazz,Princeton,2019,1,23,23
Ty Jerome,Philadelphia 76ers,Virginia,2019,1,24,24
Nassir Little,Portland Trail Blazers,North Carolina,2019,1,25,25
Dylan Windler,Cleveland Cavaliers,Belmont,2019,1,26,26
Mfiondu Kabengele,Brooklyn Nets,Florida State,2019,1,27,27
Jordan Poole,Golden State Warriors,Michigan,2019,1,28,28
Keldon Johnson,San Antonio Spurs,Kentucky,2019,1,29,29
Kevin Porter Jr.,Milwaukee Bucks,Southern California,2019,1,30,30
Nic Claxton,Brooklyn Nets,Georgia,2019,2,1,31
KZ Okpala,Phoenix Suns,Stanford,2019,2,2,32
Carsen Edwards,Philadelphia 76ers,Purdue,2019,2,3,33
Bruno Fernando,Philadelphia 76ers,Maryland,2019,2,4,34
Didi Louzada,Atlanta Hawks,Sesi Franca (Brazil),2019,2,5,35
Cody Martin,Charlotte Hornets,North Carolina State,2019,2,6,36
Deividas Sirvydis,Dallas Mavericks,BC Lietuvos rytas (Lithuania),2019,2,7,37
Daniel Gafford,Chicago Bulls,Arkansas,2019,2,8,38
Alen Smailagic,New Orleans Pelicans,Santa Cruz (G League),2019,2,9,39
Justin James,Sacramento Kings,Wyoming,2019,2,10,40
Eric Paschall,Golden State Warriors,Villanova,2019,2,11,41
Admiral Schofield,Philadelphia 76ers,Tennessee,2019,2,12,42
Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,13,43
Bol Bol,Miami Heat,Oregon,2019,2,14,44
Isaiah Roby,Detroit Pistons,Nebraska,2019,2,15,45
Talen Horton-Tucker,Orlando Magic,Iowa State,2019,2,16,46
Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,17,47
Terance Mann,LA Clippers,Florida State,2019,2,18,48
Quinndary Weatherspoon,San Antonio Spurs,Mississippi State,2019,2,19,49
Jarrell Brantley,Indiana Pacers,College of Charleston,2019,2,20,50
Tremont Waters,Boston Celtics,Louisiana State,2019,2,21,51
Jalen McDaniels,Charlotte Hornets,San Diego,2019,2,22,52
Justin Wright-Foreman,Utah Jazz,Hofstra,2019,2,23,53
Marial Shayok,Philadelphia 76ers,Virginia,2019,2,24,54
Kyle Guy,New York Knicks,Virginia,2019,2,25,55
Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,26,56
Jordan Bone,New Orleans Pelicans,Tennessee,2019,2,27,57
Miye Oni,Golden State Warriors,Yale,2019,2,28,58
Dewan Hernandez,Toronto Raptors,Miami (FL),2019,2,29,59
Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2019,2,30,60
Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1
Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2
Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3
Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4
Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5
Mo Bamba,Orlando Magic,Texas,2018,1,6,6
Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7
Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8
Kevin Knox II,New York Knicks,Kentucky,2018,1,9,9
Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11
Miles Bridges,LA Clippers,Michigan State,2018,1,12,12
Jerome Robinson,LA Clippers,Boston College,2018,1,13,13
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14
Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15
Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17
Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20
Grayson Allen,Utah Jazz,Duke,2018,1,21,21
Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22
Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24
Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25
Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26
Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28
Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29
Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30
Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33
Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4,34
Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35
Mitchell Robinson,New York Knicks,,2018,2,6,36
Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37
Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38
Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39
Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40
Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42
Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43
Issuf Sanon,Washington Wizards,KK Olimpija (Slovenia),2018,2,14,44
Hamidou Diallo,Brooklyn Nets,Kentucky,2018,2,15,45
De'Anthony Melton,Houston Rockets,Southern California,2018,2,16,46
Svi Mykhailiuk,Los Angeles Lakers,Kansas,2018,2,17,47
Keita Bates-Diop,Minnesota Timberwolves,Ohio State,2018,2,18,48
Chimezie Metu,Milwaukee Bucks,Southern California,2018,2,19,49
Alize Johnson,Indiana Pacers,Missouri State,2018,2,20,50
Tony Carr,New Orleans Pelicans,Penn State,2018,2,21,51
Vincent Edwards,Utah Jazz,Purdue,2018,2,22,52
Devon Hall,Oklahoma City Thunder,Virginia,2018,2,23,53
Shake Milton,Dallas Mavericks,Southern Methodist,2018,2,24,54
Arnoldas Kulboka,Charlotte Hornets,Brose Bamberg (Germany),2018,2,25,55
Ray Spalding,Philadelphia 76ers,Louisville,2018,2,26,56
Kevin Hervey,Oklahoma City Thunder,Texas-Arlington,2018,2,27,57
Thomas Welsh,Denver Nuggets,California-Los Angeles,2018,2,28,58
George King,Phoenix Suns,Colorado,2018,2,29,59
Kostas Antetokounmpo,Philadelphia 76ers,Dayton,2018,2,30,60
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
Zach Collins,Sacramento Kings,Gonzaga,2017,1,10,10
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
Justin Patton,Chicago Bulls,Creighton,2017,1,16,16
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17
T.J. Leaf,Indiana Pacers,California-Los Angeles,2017,1,18,18
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20
Terrance Ferguson,Oklahoma City Thunder,Adelaide 36ers (Australia),2017,1,21,21
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22
OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23
Tyler Lydon,Utah Jazz,Syracuse,2017,1,24,24
Anzejs Pasecniks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27
Tony Bradley,Los Angeles Lakers,North Carolina,2017,1,28,28
Derrick White,San Antonio Spurs,Colorado,2017,1,29,29
Josh Hart,Utah Jazz,Villanova,2017,1,30,30
Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32
Wes Iwundu,Orlando Magic,Kansas State,2017,2,3,33
Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34
Ivan Rabb,Orlando Magic,California,2017,2,5,35
Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6,36
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7,37
Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9,39
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40
Tyler Dorsey,Atlanta Hawks,Oregon,2017,2,11,41
Thomas Bryant,Utah Jazz,Indiana,2017,2,12,42
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43
Damyean Dotson,New York Knicks,Houston,2017,2,14,44
Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45
Sterling Brown,Philadelphia 76ers,Southern Methodist,2017,2,16,46
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47
Sindarius Thornwell,Milwaukee Bucks,South Carolina,2017,2,18,48
Vlatko Cancar,Denver Nuggets,KK Mega Leks (Serbia),2017,2,19,49
Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20,50
Monte Morris,Denver Nuggets,Iowa State,2017,2,21,51
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52
Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53
Alec Peters,Phoenix Suns,Valparaiso,2017,2,24,54
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55
Jabari Bird,Boston Celtics,California,2017,2,26,56
Aleksandar Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57
Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59
Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30,60
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2
Jaylen Brown,Boston Celtics,California,2016,1,3,3
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7
Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9
Thon Maker,Milwaukee Bucks,,2016,1,10,10
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11
Taurean Prince,Utah Jazz,Baylor,2016,1,12,12
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14
Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18
Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19
Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23
Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24
Brice Johnson,LA Clippers,North Carolina,2016,1,25,25
Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32
Cheick Diallo,LA Clippers,Kansas,2016,2,3,33
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46
Jake Layman,Orlando Magic,Maryland,2016,2,17,47
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49
Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50
Ben Bentil,Boston Celtics,Providence,2016,2,21,51
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22,52
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53
Kay Felder,Atlanta Hawks,Oakland,2016,2,24,54
Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27,57
Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59
Tyrone Wallace,Utah Jazz,California,2016,2,30,60
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1,1
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2
Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3,3
Kristaps Porzingis,New York Knicks,CB Sevilla (Spain),2015,1,4,4
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8,8
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9
Justise Winslow,Miami Heat,Duke,2015,1,10,10
Myles Turner,Indiana Pacers,Texas,2015,1,11,11
Trey Lyles,Utah Jazz,Kentucky,2015,1,12,12
Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14
Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15
Terry Rozier,Boston Celtics,Louisville,2015,1,16,16
Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17
Sam Dekker,Houston Rockets,Wisconsin,2015,1,18,18
Jerian Grant,Washington Wizards,Notre Dame,2015,1,19,19
Delon Wright,Toronto Raptors,Utah,2015,1,20,20
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21,21
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,22
Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,2015,1,23,23
Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24,24
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25,25
Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26,26
Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27,27
RJ Hunter,Boston Celtics,Georgia State,2015,1,28,28
Chris McCullough,Brooklyn Nets,Syracuse,2015,1,29,29
Kevon Looney,Golden State Warriors,California-Los Angeles,2015,1,30,30
Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31
Montrezl Harrell,Houston Rockets,Louisville,2015,2,2,32
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,3,33
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,4,34
Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5,35
Rakeem Christmas,Minnesota Timberwolves,Syracuse,2015,2,6,36
Richaun Holmes,Philadelphia 76ers,Bowling Green,2015,2,7,37
Darrun Hilliard,Detroit Pistons,Villanova,2015,2,8,38
Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9,39
Josh Richardson,Miami Heat,Tennessee,2015,2,10,40
Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11,41
Olivier Hanlan,Utah Jazz,Boston College,2015,2,12,42
Joe Young,Indiana Pacers,Oregon,2015,2,13,43
